id_student,highest_education,age_band,num_of_prev_attempts,studied_credits,average_score,assessment_count,total_clicks,unique_resources,active_days,engagement_score,performance_score,performance_level,engagement_level,average_score_normalized,assessment_count_normalized,total_clicks_normalized,unique_resources_normalized,active_days_normalized,studied_credits_normalized,num_of_prev_attempts_normalized
3733,HE Qualification,55<=,0,60,0.0,0,0,0,0,0.0,0.0,Low,Low,0.0,0.0,0.0,0.0,0.0,0.048,0.0
6516,HE Qualification,55<=,0,60,61.8,5,2791,84,159,6.029152907070149,61.8,Medium,High,0.618,0.17857142857142858,0.09753625720775817,0.14507772020725387,0.5559440559440559,0.048,0.0
8462,HE Qualification,55<=,1,90,87.0,7,656,128,56,5.265932709052711,87.0,High,Medium,0.87,0.25,0.022925039315044558,0.22107081174438686,0.1958041958041958,0.096,0.16666666666666666
11391,HE Qualification,55<=,0,240,82.0,5,934,55,40,5.0578957389473125,82.0,High,Medium,0.82,0.17857142857142858,0.032640223658920144,0.09499136442141623,0.13986013986013987,0.336,0.0
23629,Lower Than A Level,0-35,2,60,82.5,4,161,11,16,3.6304745322462186,82.5,High,Low,0.825,0.14285714285714285,0.005626419709942338,0.018998272884283247,0.055944055944055944,0.048,0.3333333333333333
23632,A Level or Equivalent,0-35,0,60,0.0,0,0,0,0,0.0,0.0,Low,Low,0.0,0.0,0.0,0.0,0.0,0.048,0.0
23698,A Level or Equivalent,0-35,0,120,74.44444444444444,9,910,49,70,5.178228023644822,74.44444444444444,Medium,Medium,0.7444444444444445,0.32142857142857145,0.03180150270836973,0.0846286701208981,0.24475524475524477,0.144,0.0
23798,A Level or Equivalent,0-35,0,60,93.9090909090909,11,590,49,77,5.033345956597761,93.9090909090909,High,Medium,0.9390909090909091,0.39285714285714285,0.020618556701030927,0.0846286701208981,0.2692307692307692,0.048,0.0
24186,Lower Than A Level,0-35,0,30,62.5,8,184,19,23,3.9402781612019107,62.5,Medium,Medium,0.625,0.2857142857142857,0.006430193954219815,0.03281519861830743,0.08041958041958042,0.0,0.0
24213,A Level or Equivalent,0-35,1,90,76.28571428571429,7,1992,139,118,5.955188302801368,76.28571428571429,Medium,High,0.7628571428571429,0.25,0.06961383889568408,0.24006908462867013,0.4125874125874126,0.096,0.16666666666666666
24391,A Level or Equivalent,0-35,0,30,88.88888888888889,9,712,45,58,4.999646220284163,88.88888888888889,High,Medium,0.8888888888888888,0.32142857142857145,0.02488205486632885,0.07772020725388601,0.20279720279720279,0.0,0.0
24734,Lower Than A Level,0-35,0,60,46.8,5,499,50,56,4.87830630953654,46.8,Low,Medium,0.46799999999999997,0.17857142857142858,0.017438406430193953,0.08635578583765112,0.1958041958041958,0.048,0.0
25107,Lower Than A Level,0-35,0,120,77.36363636363636,11,2562,42,115,5.694010582585607,77.36363636363636,Medium,Medium,0.7736363636363636,0.39285714285714285,0.08953346147125633,0.07253886010362694,0.4020979020979021,0.144,0.0
25150,HE Qualification,0-35,0,60,84.25,4,2103,49,122,5.677900437783209,84.25,High,Medium,0.8425,0.14285714285714285,0.07349292329197973,0.0846286701208981,0.42657342657342656,0.048,0.0
25261,HE Qualification,0-35,0,60,78.0,1,997,43,39,5.0042220369342445,78.0,Medium,Medium,0.78,0.03571428571428571,0.03484186615411498,0.07426597582037997,0.13636363636363635,0.048,0.0
25572,HE Qualification,0-35,2,150,55.0,2,113,26,23,3.8366465882634806,55.0,Low,Medium,0.55,0.07142857142857142,0.0039489778088415165,0.044905008635578586,0.08041958041958042,0.192,0.3333333333333333
25629,Lower Than A Level,0-35,1,120,0.0,0,16,3,3,1.965061954294421,0.0,Low,Low,0.0,0.0,0.0005591473003669404,0.0051813471502590676,0.01048951048951049,0.144,0.16666666666666666
25997,A Level or Equivalent,0-35,2,60,86.5,2,13,2,1,1.59315077261452,86.5,High,Low,0.865,0.07142857142857142,0.0004543071815481391,0.0034542314335060447,0.0034965034965034965,0.048,0.3333333333333333
26023,Lower Than A Level,35-55,0,30,88.0,9,786,43,84,5.135343566489535,88.0,High,Medium,0.88,0.32142857142857145,0.027468111130525948,0.07426597582037997,0.2937062937062937,0.0,0.0
26192,A Level or Equivalent,35-55,0,60,86.2,5,2223,69,118,5.791110682696456,86.2,High,High,0.862,0.17857142857142858,0.07768652804473178,0.11917098445595854,0.4125874125874126,0.048,0.0
26211,HE Qualification,35-55,0,90,89.25,12,15205,273,248,7.190952447171186,89.25,High,High,0.8925,0.42857142857142855,0.531364668879958,0.47150259067357514,0.8671328671328671,0.096,0.0
26247,HE Qualification,35-55,2,60,88.0,1,478,50,18,4.531559622531596,88.0,High,Medium,0.88,0.03571428571428571,0.016704525598462343,0.08635578583765112,0.06293706293706294,0.048,0.3333333333333333
26269,Lower Than A Level,35-55,0,60,0.0,0,0,0,0,0.0,0.0,Low,Low,0.0,0.0,0.0,0.0,0.0,0.048,0.0
26315,Lower Than A Level,35-55,1,60,51.4,5,2451,103,91,5.8717175616795645,51.4,Low,High,0.514,0.17857142857142858,0.08565437707496068,0.17789291882556132,0.3181818181818182,0.048,0.16666666666666666
26677,A Level or Equivalent,0-35,4,60,0.0,0,0,0,0,0.0,0.0,Low,Low,0.0,0.0,0.0,0.0,0.0,0.048,0.6666666666666666
26734,A Level or Equivalent,0-35,0,90,74.33333333333333,3,210,26,29,4.1498535276903725,74.33333333333333,Medium,Medium,0.7433333333333333,0.10714285714285714,0.007338808317316093,0.044905008635578586,0.10139860139860139,0.096,0.0
26915,Lower Than A Level,35-55,0,30,0.0,0,61,9,7,2.9654617444202014,0.0,Low,Low,0.0,0.0,0.00213174908264896,0.015544041450777202,0.024475524475524476,0.0,0.0
27116,HE Qualification,0-35,0,120,93.33333333333331,9,1847,114,126,5.8854794653272045,93.33333333333331,High,High,0.9333333333333331,0.32142857142857145,0.06454656648610868,0.19689119170984457,0.4405594405594406,0.144,0.0
27189,Lower Than A Level,35-55,0,120,52.0,12,2638,91,53,5.704493921685325,52.0,Low,Medium,0.52,0.42857142857142855,0.0921894111479993,0.15716753022452504,0.1853146853146853,0.144,0.0
27417,Lower Than A Level,0-35,1,60,50.625,8,510,61,40,4.846759771606302,50.625,Low,Medium,0.50625,0.2857142857142857,0.017822820199196225,0.10535405872193437,0.13986013986013987,0.048,0.16666666666666666
27457,Lower Than A Level,35-55,0,60,0.0,0,0,0,0,0.0,0.0,Low,Low,0.0,0.0,0.0,0.0,0.0,0.048,0.0
